Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,45,ModelResultImpl,1307,4478,179,17,171,(TransformationExecutionTime3|ForwardTime:56|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,3,2,0,0,7,0,1,50,56,8,5,6,0,49,0,49,30,0
1,46,ModelResultImpl,1307,4434,168,14,159,(TransformationExecutionTime3|ForwardTime:48|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),88,3,2,0,0,7,0,1,46,48,8,4,5,0,45,0,45,30,0
1,47,ModelResultImpl,1307,4518,186,13,177,(TransformationExecutionTime4|ForwardTime:62|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,4,1,0,0,10,0,1,60,62,9,4,4,0,59,0,59,30,0
1,48,ModelResultImpl,1307,4446,167,15,159,(TransformationExecutionTime3|ForwardTime:52|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),83,3,2,0,0,7,0,1,47,52,8,4,5,0,46,0,46,30,0
1,49,ModelResultImpl,1307,4441,167,17,159,(TransformationExecutionTime3|ForwardTime:48|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,3,2,0,0,6,0,1,46,48,7,4,5,0,45,0,45,30,0
1,50,ModelResultImpl,1307,4500,249,13,240,(TransformationExecutionTime6|ForwardTime:94|Backtrackingtime:5|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),96,6,2,0,0,21,0,1,82,94,15,6,5,0,81,0,81,30,0
1,51,ModelResultImpl,1307,4720,189,16,180,(TransformationExecutionTime4|ForwardTime:52|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),101,4,2,0,0,8,0,1,43,52,10,5,5,0,42,0,42,30,0
1,52,ModelResultImpl,1307,4384,171,16,164,(TransformationExecutionTime3|ForwardTime:54|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),85,3,2,0,0,8,0,1,52,54,8,4,4,0,51,0,51,30,0
1,53,ModelResultImpl,1307,4335,147,11,140,(TransformationExecutionTime3|ForwardTime:34|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,3,1,0,0,3,0,1,30,34,7,4,4,0,29,0,29,30,0
1,54,ModelResultImpl,1307,4405,155,12,147,(TransformationExecutionTime3|ForwardTime:39|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,3,1,0,0,4,0,1,33,39,7,4,5,0,32,0,32,30,0
1,55,ModelResultImpl,1307,4349,168,12,160,(TransformationExecutionTime3|ForwardTime:51|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),84,3,1,0,0,9,0,1,50,51,9,4,5,0,49,0,49,30,0
1,56,ModelResultImpl,1307,4368,162,13,154,(TransformationExecutionTime3|ForwardTime:46|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),86,3,1,0,0,6,0,1,42,46,8,4,5,0,41,0,41,30,0
1,57,ModelResultImpl,1307,4906,166,12,158,(TransformationExecutionTime3|ForwardTime:45|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),91,3,1,0,0,6,0,1,39,45,8,5,4,0,38,0,38,30,0
1,58,ModelResultImpl,1307,4505,172,12,164,(TransformationExecutionTime3|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),85,3,1,0,0,8,0,1,55,54,9,4,4,0,54,0,54,30,0
